"Num_Acc","an","mois","jour","hrmn","lum","agg","int","atm","col","com","adr","gps","lat","long","dep"
201600000040,16,5,29,615,2,2,1,1,6,497,"rue d'hazebrouck","M",0,"0",590
201600000041,16,6,10,830,1,1,1,1,3,497,"","M",0,"0",590
201600000042,16,7,27,1600,1,1,1,1,6,577,"","M",0,"0",590
201600000043,16,9,1,545,5,2,1,1,6,497,"rue de thérouanne","M",0,"0",590
201600000044,16,11,5,1445,1,1,1,1,6,634,"","M",0,"0",590
201600000045,16,11,18,1800,5,2,1,2,6,84,"Rue DHEDIN","M",0,"0",590
201600000046,16,11,27,2230,3,1,1,1,6,184,"","M",0,"0",590
201600000047,16,4,20,1330,1,1,2,1,3,401,"","M",0,"0",590
201600000048,16,7,4,1830,1,1,1,1,7,401,"","M",0,"0",590
201600000049,16,8,7,230,4,2,1,1,7,237,"512 route nationale","M",0,"0",590
201600000050,16,9,8,1000,1,1,1,1,3,535,"","M",0,"0",590
201600000051,16,4,29,1545,1,1,1,1,1,581,"","M",5068000,"279300",590
201600000052,16,6,1,1530,1,2,1,2,3,268,"RUE JEAN MERMOZ","M",5064100,"271200",590
201600000053,16,6,17,130,3,1,1,2,7,212,"","M",0,"0",590
201600000054,16,8,25,1130,1,1,1,1,1,581,"","M",0,"0",590
201600000055,16,9,18,1645,1,1,1,2,7,43,"","M",0,"0",590
201600000056,16,10,18,745,2,1,1,1,6,581,"","M",5070800,"276500",590
201600000057,16,12,19,715,3,1,1,5,1,180,"","M",0,"0",590
201600000058,16,3,10,400,3,2,1,1,6,615,"Rue de Sec Bois","M",5070266,"262094",590
201600000059,16,6,29,1845,1,1,1,2,6,400,"","M",0,"0",590
201600000060,16,9,17,1330,1,2,1,1,3,400,"24 rue d'aire","M",0,"0",590
201600000061,16,12,7,2000,5,2,9,1,6,400,"2 rue thiers","M",0,"0",590
201600000062,16,12,14,1715,3,2,1,1,6,400,"rue du Rinchon","M",0,"0",590
201600000063,16,1,12,1145,1,1,2,1,3,453,"","M",0,"0",590
201600000064,16,1,24,100,3,1,1,2,7,54,"","M",0,"0",590
201600000065,16,4,27,1945,1,1,1,2,6,135,"","M",0,"0",590
201600000066,16,6,27,1545,1,1,1,1,1,546,"Route Nationale","M",5078535,"253023",590
201600000067,16,7,6,1415,1,1,1,1,2,135,"","M",0,"0",590
201600000068,16,8,9,2200,3,1,2,1,3,318,"","M",0,"0",590
201600000069,16,8,22,1045,1,1,1,1,6,119,"","M",0,"0",590
201600000070,16,9,21,1345,1,2,6,1,3,546,"ROND POINT DE LHAZEWINDE","M",0,"0",590
201600000071,16,10,6,1930,5,2,1,1,1,262,"rue de Callicanes","M",0,"0",590
201600000072,16,10,25,2145,3,1,1,5,6,587,"","M",0,"0",590
201600000073,16,9,27,2100,5,2,2,1,3,44,"rue de lille","M",5060979,"322963",590
201600000074,16,11,26,200,3,1,1,1,6,44,"","M",0,"0",590
201600000075,16,12,3,1745,5,2,1,1,1,13,"10 route nationale","M",0,"0",590
201600000076,16,3,29,1615,1,2,1,1,2,42,"RD 955 ROUTE NATIONALE","M",0,"0",590
201600000077,16,4,21,830,1,1,1,1,3,523,"","M",0,"0",590
201600000078,16,7,23,600,2,1,1,1,7,419,"","M",0,"0",590
201600000079,16,10,2,930,1,1,1,3,6,523,"","M",0,"0",590
201600000080,16,1,2,2100,3,1,1,2,6,643,"","M",0,"0",590
201600000081,16,1,22,1130,1,1,2,1,3,643,"COMINES ROUTE DE","M",5074146,"296661",590
201600000082,16,3,20,1615,1,2,1,1,5,482,"268 rue d'Ypres","M",0,"0",590
201600000083,16,4,2,815,1,2,8,1,3,482,"153, WARNETON RUE DE","M",5071633,"299358",590
201600000084,16,4,2,200,3,1,1,1,2,252,"","M",5071359,"293964",590
201600000085,16,4,15,1000,1,1,1,1,6,611,"","M",0,"0",590
201600000086,16,4,16,1030,1,2,1,1,6,482,"RD 108","M",0,"0",590
201600000087,16,5,30,1145,1,1,6,2,2,173,"11, COMINES ROUTE","M",5073736,"295811",590
201600000088,16,8,9,1345,1,2,6,1,3,252,"rue au vent","M",5071258,"293230",590
201600000089,16,9,10,530,3,1,1,1,1,252,"","M",5070937,"294594",590
201600000090,16,12,24,530,5,1,1,1,6,173,"","M",5072661,"297364",590
201600000091,16,1,9,1600,1,1,9,1,7,166,"","M",0,"0",590
201600000092,16,4,5,1015,1,1,1,1,6,559,"","M",0,"0",590
201600000093,16,8,8,2315,5,1,1,1,6,221,"","M",0,"0",590
201600000094,16,10,1,1515,1,1,1,1,3,471,"","M",0,"0",590
201600000095,16,4,4,1530,1,1,1,1,1,313,"Route Nationale","M",5026022,"332324",590
201600000096,16,11,30,1745,3,1,1,1,3,348,"","M",0,"0",590
201600000097,16,3,15,1730,1,2,1,1,6,434,"670 rue paul willay","M",0,"0",590
201600000098,16,8,28,1430,1,1,1,1,1,238,"","M",0,"0",590
201600000099,16,2,4,2115,5,2,1,1,6,374,"Grande rue","M",5012850,"383819",590
201600000100,16,3,9,2000,5,2,1,1,6,36,"rue saint louis","M",0,"0",590
201600000101,16,4,14,1400,1,1,1,1,5,35,"","M",0,"0",590
201600000102,16,6,19,1515,1,1,1,1,1,534,"","M",0,"0",590
201600000103,16,8,16,1345,2,1,1,1,7,181,"","M",0,"0",590
201600000104,16,11,25,930,1,2,1,1,1,35,"","M",0,"0",590
201600000105,16,12,23,1945,3,1,1,2,7,406,"","M",0,"0",590
201600000106,16,1,6,1230,1,2,1,1,6,12,"rue d'Hirson","M",0,"0",590
201600000107,16,3,20,300,3,2,1,1,7,12,"46 rue d'Hirson","M",0,"0",590
201600000108,16,5,28,2030,2,1,1,1,3,12,"","M",0,"0",590
201600000109,16,8,12,1715,1,1,1,1,1,249,"","M",0,"0",590
201600000110,16,11,26,1745,1,2,1,1,6,249,"boulevard sadi carnot","M",0,"0",590
201600000111,16,11,27,1800,5,2,1,8,6,249,"FONTAINE ALTUERIE","M",0,"0",590
201600000112,16,12,2,745,2,2,1,5,7,12,"rue des romains","M",0,"0",590
201600000113,16,12,2,1345,1,2,1,5,6,12,"69 bis rue de Momignies","M",0,"0",590
201600000114,16,12,5,815,1,2,2,1,3,249,"rue Jean Baptiste Lebas","M",0,"0",590
201600000115,16,12,9,2000,3,1,1,2,7,12,"","M",0,"0",590
201600000116,16,12,13,1530,1,1,1,1,6,659,"","M",0,"0",590
201600000117,16,12,18,345,5,2,1,9,6,249,"123 rue fernand pecheux","M",0,"0",590
201600000118,16,7,24,2115,1,2,1,1,6,425,"rue des barres - CD86","M",0,"0",590
201600000119,16,8,2,1515,1,1,1,2,1,503,"","M",0,"0",590
201600000120,16,10,21,615,5,2,1,5,1,99,"40 rue des fusillés","M",0,"0",590
201600000121,16,10,29,1545,1,1,1,1,7,353,"","M",0,"0",590
201600000122,16,11,10,730,2,1,1,1,5,194,"","M",0,"0",590
201600000123,16,12,17,45,5,2,1,1,6,194,"rue Victorien Cantineau","M",0,"0",590
201600000124,16,8,21,1245,1,2,1,1,1,261,"rue du general de gaulle","M",0,"0",590
201600000125,16,12,10,1000,1,1,1,9,6,601,"","M",0,"0",590
201600000126,16,12,26,2045,3,1,1,5,3,229,"","M",0,"0",590
201600000127,16,1,23,1845,1,1,1,1,1,23,"","M",0,"0",590
201600000128,16,4,3,1630,1,1,1,1,6,595,"","M",0,"0",590
201600000129,16,2,7,615,5,2,1,2,6,274,"rue de Landrecies","M",5007517,"368177",590
201600000130,16,8,23,2115,3,1,1,1,3,136,"","M",0,"0",590
201600000131,16,10,16,1015,1,2,1,1,6,136,"RUE LEON GAMBETTA","M",0,"0",590
201600000132,16,10,20,1030,1,1,1,1,3,450,"","M",0,"0",590
201600000133,16,6,20,1500,1,2,1,3,6,139,"203 Rue de la République","M",5013195,"340272",590
201600000134,16,6,21,2315,5,2,1,1,6,321,"route départementale 643","M",0,"0",590
201600000135,16,8,27,2115,5,2,1,1,1,139,"177 rue de St Quentin","M",0,"0",590
201600000136,16,9,3,1730,1,2,1,1,6,139,"PLACE GENERAL DE GAULLE","M",0,"0",590
201600000137,16,9,10,200,3,1,1,1,6,614,"","M",0,"0",590
201600000138,16,2,5,1530,1,2,2,1,3,382,"CD 932","M",0,"0",590
201600000139,16,5,30,1330,1,1,1,3,1,209,"","M",0,"0",590
201600000140,16,12,9,1145,1,1,1,1,6,149,"","M",0,"0",590
201600000141,16,5,27,1700,1,1,1,1,6,595,"","M",0,"0",590
201600000142,16,7,22,2100,1,1,1,1,7,1,"","M",0,"0",590
201600000143,16,8,26,2100,1,1,1,1,6,121,"","M",0,"0",590
201600000144,16,12,15,630,5,2,1,1,6,552,"82 route nationale","M",0,"0",590
201600000145,16,7,22,1330,1,2,1,1,1,377,"17 RUE DE MASNIERES","M",0,"0",590
201600000146,16,8,8,1700,1,2,1,1,3,97,"ROUTE NATIONALE","M",0,"0",590
201600000147,16,8,19,2200,3,1,1,1,2,176,"","M",0,"0",590
201600000148,16,2,6,1400,1,1,1,1,6,571,"","M",0,"0",590
201600000149,16,2,24,1345,1,1,1,1,1,289,"","M",0,"0",590
201600000150,16,6,16,300,3,2,1,1,7,571,"Général De Gaulle","M",0,"0",590
201600000151,16,7,8,1830,1,2,1,1,6,571,"19 rue de solesmes","M",0,"0",590
201600000152,16,9,12,945,1,2,1,1,6,289,"","M",0,"0",590
201600000153,16,11,2,2230,3,1,1,1,6,608,"","M",0,"0",590
201600000154,16,2,11,645,2,2,1,1,7,26,"RUE JEAN SIMON DUMONT","M",5026700,"316400",590
201600000155,16,7,2,1400,1,2,1,1,6,224,"404 Rue Jules Domise","M",5026763,"322428",590
201600000156,16,8,28,2000,2,2,1,1,3,15,"rue André Joseph LEGLAY","M",5028800,"312600",590
201600000157,16,12,17,2100,5,2,1,2,1,224,"rue volckcrick","M",5027000,"321100",590
201600000158,16,12,21,500,3,1,6,1,7,126,"","M",5031200,"313000",590
201600000159,16,12,27,1015,1,2,6,1,3,409,"rue Jean Jaurès","M",5030900,"320800",590
201600000160,16,1,28,715,3,2,1,1,6,158,"route nationale","M",0,"0",590
201600000161,16,7,9,2100,1,2,1,1,2,80,"rue du stade","M",5049400,"340000",590
201600000162,16,8,30,1500,1,2,1,7,6,29,"RUE DU NOIR DEBOUT","M",0,"0",590
201600000163,16,9,2,1315,1,1,1,1,4,449,"","M",0,"0",590
201600000164,16,9,13,1000,1,2,1,1,1,435,"rue du coquelet","M",0,"0",590
201600000165,16,10,14,800,2,1,1,1,6,158,"","M",0,"0",590
201600000166,16,10,30,1445,1,2,1,1,2,29,"rue des martyrs","M",0,"0",590
201600000167,16,11,19,900,1,1,1,7,3,435,"","M",0,"0",590
201600000168,16,12,3,1645,1,2,1,1,6,449,"rue Poterne","M",0,"0",590
201600000169,16,1,29,1645,1,2,1,8,1,53,"rue du quesnoy","M",0,"0",590
201600000170,16,2,2,800,2,2,1,2,6,53,"route d'avesnes","M",0,"0",590
201600000171,16,2,25,1100,1,1,1,1,1,283,"","M",0,"0",590
201600000172,16,2,27,1715,1,2,1,1,7,76,"route de Mons","M",0,"0",590
201600000173,16,3,13,1715,1,2,1,1,7,53,"7 rue du Maréchal Juin","M",0,"0",590
201600000174,16,3,16,630,2,1,1,1,1,76,"","M",0,"0",590
201600000175,16,3,17,1945,3,1,1,1,5,315,"Route départementale","M",5030514,"377363",590
201600000176,16,6,8,2245,3,2,1,1,7,283,"","M",0,"0",590
201600000177,16,8,13,2045,2,1,1,1,6,357,"","M",0,"0",590
201600000178,16,8,26,100,5,1,1,1,7,357,"","M",0,"0",590
201600000179,16,9,8,1430,1,1,1,1,7,357,"","M",0,"0",590
201600000180,16,10,14,445,3,1,1,1,7,357,"","M",0,"0",590
201600000181,16,12,23,245,3,1,1,9,6,76,"","M",5017700,"350000",590
201600000182,16,12,29,1730,3,1,1,9,1,357,"","M",0,"0",590
201600000183,16,3,7,1745,1,1,1,4,4,265,"Chaussée Brunehaut","M",5025230,"372818",590
201600000184,16,4,7,845,1,2,1,8,6,481,"avenue leo lagrange","M",0,"0",590
201600000185,16,4,9,1745,2,1,1,1,7,565,"","M",0,"0",590
201600000186,16,10,26,1745,1,2,1,5,3,451,"route de valenciennes","M",0,"0",590
201600000187,16,1,10,215,3,1,1,2,6,187,"","M",0,"0",590
201600000188,16,2,26,1630,1,1,1,1,7,351,"","M",0,"0",590
201600000189,16,12,13,1745,3,1,1,8,5,572,"","M",5000000,"0",590
201600000190,16,2,25,1430,1,1,1,1,1,583,"","M",0,"0",620
201600000191,16,7,11,1330,1,1,1,1,6,81,"","M",5021711,"306276",620
201600000192,16,9,14,1700,1,1,1,7,1,414,"","M",5023815,"297984",620
201600000193,16,11,15,745,2,1,1,5,1,86,"","M",0,"0",620
201600000194,16,1,7,1900,3,1,1,6,4,887,"","M",0,"0",620
201600000195,16,2,13,2030,3,1,1,2,6,156,"","M",0,"0",620
201600000196,16,6,25,1430,1,1,1,1,2,235,"","M",5064123,"166580",620
201600000197,16,3,19,2315,3,1,1,1,2,751,"","M",0,"0",620
201600000198,16,4,16,1815,1,1,9,1,4,474,"","M",0,"0",620
201600000199,16,4,18,1145,1,1,1,1,6,496,"","M",0,"0",620
201600000200,16,7,24,1700,1,1,1,1,3,758,"","M",0,"0",620
201600000201,16,8,13,2215,3,1,1,1,2,354,"","M",0,"0",620
201600000202,16,9,28,745,1,1,1,1,2,354,"","M",0,"0",620
201600000203,16,11,9,1200,1,1,1,3,3,560,"","M",0,"0",620
201600000204,16,12,1,730,1,1,1,1,1,894,"","M",0,"0",620
201600000205,16,12,29,1830,3,1,1,1,3,894,"","M",0,"0",620
201600000206,16,6,10,1800,1,2,3,1,3,421,"rue d'hermies","M",5010858,"308254",620
201600000207,16,7,24,1945,1,2,2,1,3,440,"PRETRES - POSTE","M",5011314,"303713",620
201600000208,16,8,29,845,1,2,1,1,3,593,"19A rue principale D11E1","M",5002892,"287380",620
201600000209,16,6,7,930,1,2,1,1,6,422,"9 RUE NEUVE","M",5012353,"263517",620
201600000210,16,6,7,1715,1,2,1,3,7,583,"D6","M",5017442,"246665",620
201600000211,16,7,15,1145,1,1,1,1,7,135,"","M",5023149,"270897",620
201600000212,16,8,6,2115,2,1,1,1,6,216,"","M",5020825,"259721",620
201600000213,16,11,21,1800,5,2,1,1,6,332,"20 rue de neuville","M",5023197,"274658",620
201600000214,16,11,21,1700,2,1,2,1,3,151,"","M",5021893,"276027",620
201600000215,16,11,30,1415,1,2,1,1,3,181,"route d'ierville","M",5013853,"270921",620
201600000216,16,1,19,1145,1,2,1,7,6,284,"","M",5024910,"306829",620
201600000217,16,8,3,245,3,1,1,2,6,306,"","M",5015246,"282882",620
201600000218,16,9,7,1700,1,2,1,7,7,781,"","M",5022725,"310897",620
201600000219,16,1,5,1230,1,1,1,1,7,1,"","M",5039645,"269686",620
201600000220,16,1,24,615,1,1,1,2,7,73,"","M",5033467,"283834",620
201600000221,16,6,1,1530,1,1,1,1,1,589,"","M",5034514,"269425",620
201600000222,16,7,4,715,1,2,1,2,6,801,"62 rue Carnot","M",5038965,"274233",620
201600000223,16,12,25,1830,3,1,1,2,6,371,"","M",5039649,"279314",620
201600000224,16,1,17,2130,3,1,1,1,5,306,"","M",5017315,"282309",620
201600000225,16,5,19,1500,1,1,1,8,7,873,"D 37E1","M",5026504,"282902",620
201600000226,16,5,26,1900,1,2,6,1,6,646,"","M",5026750,"309935",620
201600000227,16,11,22,945,3,1,1,1,2,164,"","M",5019899,"313344",620
201600000228,16,12,10,1845,3,1,1,9,1,582,"","M",5026210,"288529",620
201600000229,16,7,1,900,1,1,1,1,1,865,"rue Nobled","M",5032498,"299557",620
201600000230,16,7,26,1030,1,1,1,1,6,355,"","M",5033287,"290832",620
201600000231,16,10,14,1700,1,1,6,1,3,173,"","M",5033668,"300917",620
201600000232,16,11,14,445,3,1,1,8,2,865,"","M",5033372,"296179",620
201600000233,16,11,28,745,2,2,1,1,2,865,"rue des Colombiers","M",5032858,"297896",620
201600000234,16,3,3,830,1,1,1,1,6,564,"","M",5061251,"240074",620
201600000235,16,4,10,515,2,2,1,1,1,391,"Rue FOCH","M",5061652,"249261",620
201600000236,16,5,8,1900,1,2,1,1,1,900,"Rue du coupe gueule","M",5061131,"236971",620
201600000237,16,8,6,600,1,1,1,1,6,454,"","M",5055830,"260694",620
201600000238,16,8,21,1215,1,2,1,2,1,313,"rue de thérouanne","M",5059551,"231762",620
201600000239,16,3,7,1715,1,1,1,8,6,338,"","M",5063794,"282823",620
201600000240,16,4,22,1815,1,1,1,1,4,491,"","M",5063200,"277200",620
201600000241,16,8,12,2230,3,1,1,1,1,529,"","M",5056980,"277945",620
201600000242,16,11,3,1800,2,1,1,1,2,706,"","M",5059500,"276400",620
201600000243,16,11,21,800,2,1,1,1,6,338,"","M",5064200,"281100",620
201600000244,16,12,6,745,2,2,1,1,6,736,"668 rue de bruges","M",5065619,"278814",620
201600000245,16,3,13,1330,1,1,1,1,1,255,"254E1","M",5068154,"180471",620
201600000246,16,7,30,1200,1,2,1,1,3,273,"36 route de samer D127E4","M",5061798,"183044",620
201600000247,16,4,1,2315,3,1,1,1,6,889,"","M",5077575,"172825",620
201600000248,16,4,10,1330,1,1,1,7,7,546,"","M",5076816,"166703",620
201600000249,16,4,15,1645,1,1,2,8,4,705,"","M",5080954,"177870",620
201600000250,16,7,3,1530,1,1,1,1,2,899,"","M",5090452,"168739",620
201600000251,16,7,16,1930,1,1,1,1,5,560,"rue e. quenu","M",5082368,"169693",620
201600000252,16,9,3,1330,1,1,1,1,3,329,"","M",5082898,"175530",620
201600000253,16,10,23,1915,2,1,1,1,3,54,"","M",5083585,"163611",620
201600000254,16,3,7,830,1,1,1,4,1,300,"","M",5067753,"158255",620
201600000255,16,4,17,1400,1,1,1,1,5,235,"","M",5063543,"164473",620
201600000256,16,12,12,2030,3,1,1,1,1,604,"","M",5060794,"163243",620
201600000257,16,4,29,1015,1,1,1,1,1,170,"","M",5043543,"268823",620
201600000258,16,5,4,1945,1,1,3,7,1,793,"","M",5040504,"263190",620
201600000259,16,5,5,1030,1,2,1,7,7,693,"RUE ROUANEL","M",5043770,"255002",620
201600000260,16,5,26,1545,1,1,1,1,1,170,"","M",5043661,"266594",620
201600000261,16,7,28,1730,1,1,1,1,3,693,"","M",5042766,"256116",620
201600000262,16,10,9,345,5,2,1,1,3,793,"rue de la mairie","M",5040897,"264217",620
201600000263,16,10,12,845,1,2,1,1,6,443,"rue Victor HUGO, D 188","M",5045134,"263813",620
201600000264,16,11,6,1800,3,1,1,1,2,443,"","M",5044119,"264861",620
201600000265,16,6,29,530,1,2,1,1,7,176,"CD939","M",5050084,"169175",620
201600000266,16,9,21,2045,3,1,1,1,6,196,"","M",5046792,"172762",620
201600000267,16,6,30,1000,1,2,1,3,6,364,"PLACE GENERAL DE GAULLE","M",5051336,"213438",620
201600000268,16,12,3,1830,3,1,1,1,1,183,"","M",5039100,"185200",620
201600000269,16,6,9,1545,1,1,1,1,3,201,"","M",5056319,"160832",620
201600000270,16,10,8,1930,5,2,1,1,3,318,"Avenue de Rombly","M",5051914,"165263",620
201600000271,16,10,31,1430,1,2,1,1,6,318,"76 bd de l imperatrice","M",5051284,"163617",620
201600000272,16,1,31,1645,1,2,1,2,1,661,"","M",5038209,"198640",620
201600000273,16,5,29,1400,1,2,1,1,6,552,"rue de widance","M",5040231,"195488",620
201600000274,16,2,1,1430,1,1,1,6,1,14,"","M",5063854,"237240",620
201600000275,16,3,4,845,1,2,1,1,6,721,"1753 rue de Warnes","M",5066079,"235111",620
201600000276,16,4,26,2030,1,1,1,1,6,543,"","M",5063352,"233458",620
201600000277,16,5,29,1715,1,2,1,1,2,14,"rue de l'industrie","M",5063946,"241387",620
201600000278,16,5,27,1800,1,2,1,1,2,14,"12 rue principale","M",5064055,"237936",620
201600000279,16,10,31,600,5,2,1,5,6,684,"CD943","M",5069175,"236163",620
201600000280,16,12,13,1730,3,1,1,1,1,288,"","M",5067508,"226861",620
201600000281,16,12,15,1845,5,2,1,1,6,14,"boulevard clémenceau","M",5064271,"239789",620
201600000282,16,7,18,1515,1,2,1,1,6,55,"rue de licques","M",5078184,"198870",620
201600000283,16,1,14,1100,1,2,2,1,3,645,"avenue Paul MACHY","M",5098005,"205705",620
201600000284,16,2,13,1530,1,2,1,2,6,57,"595 rue georges mauffait","M",5087464,"208359",620
201600000285,16,2,23,1000,1,1,2,1,3,756,"","M",5090450,"213449",620
201600000286,16,11,3,1030,1,2,1,1,2,598,"rue du communal","M",5084352,"211443",620
201600000287,16,11,16,1330,1,1,1,1,3,614,"","M",5083753,"201821",620
201600000288,16,12,27,1830,3,2,1,8,1,393,"480 avenue des jonquille","M",5091155,"199296",620
201600000289,16,5,16,600,2,2,1,1,6,304,"rue basse boulogne","M",5058827,"224959",620
201600000290,16,9,11,930,1,1,1,1,6,569,"","M",5064576,"211773",620
201600000291,16,7,10,1715,1,1,1,1,5,803,"","M",5072698,"191392",620
201600000292,16,1,10,1415,1,2,1,9,6,767,"4 reu de sains à FIEFS","M",0,"0",620
201600000293,16,3,19,1215,1,2,1,1,3,767,"rue de la calandre","M",5038339,"233350",620
201600000294,16,4,4,145,3,2,1,3,6,451,"36 rue d'Aire","M",5047815,"227237",620
201600000295,16,4,13,1645,1,1,1,1,2,367,"","M",5038327,"232433",620
201600000296,16,4,16,200,5,2,1,1,1,767,"Place Ml LECLERC CD941","M",5038117,"233574",620
201600000297,16,4,15,2115,3,1,1,2,1,333,"","M",5050450,"231179",620
201600000298,16,4,17,1115,1,1,1,1,3,269,"","M",5042827,"243873",620
201600000299,16,6,6,1700,1,2,1,1,6,767,"place louis lebel","M",5038178,"233586",620
201600000300,16,7,8,1230,1,2,1,1,3,138,"D 104 PR 25 + 400","M",5043041,"217241",620
201600000301,16,7,29,1300,1,2,1,1,1,717,"RD8","M",5036494,"238799",620
201600000302,16,9,10,1045,1,1,1,1,6,835,"","M",5043903,"237041",620
201600000303,16,9,13,2000,2,1,1,1,1,450,"","M",5043790,"231791",620
201600000304,16,9,14,1830,1,2,3,1,1,519,"88 rue de Laires","M",5051755,"222933",620
201600000305,16,9,18,1600,1,1,1,2,5,514,"","M",5073800,"261500",620
201600000306,16,9,29,2145,3,1,1,2,6,686,"","M",5037609,"230046",620
201600000307,16,11,1,1815,2,1,1,1,3,260,"","M",5038686,"224794",620
201600000308,16,11,4,1300,1,1,1,1,3,767,"","M",5037949,"234032",620
201600000309,16,12,12,1200,1,1,1,1,3,835,"","M",5042300,"238600",620
201600000310,16,12,24,900,1,1,1,1,7,835,"","M",5044347,"237785",620
201600000311,16,2,27,1615,1,1,1,1,7,385,"","M",5025907,"249070",620
201600000312,16,2,29,700,1,1,1,9,6,316,"","M",5027036,"240308",620
201600000313,16,7,10,1900,1,1,1,1,6,785,"","M",5036528,"255533",620
201600000314,16,7,31,845,1,1,2,1,1,198,"","M",5038909,"262265",620
201600000315,16,9,5,715,1,1,1,2,7,802,"","M",5022980,"236257",620
201600000316,16,11,14,630,3,1,1,5,6,536,"","M",5043199,"250779",620
201600000317,16,11,28,915,1,1,1,1,1,61,"","M",5035155,"245045",620
201600000318,16,12,2,1930,5,2,1,8,3,784,"rue de faune","M",5020516,"253364",620
201600000319,16,12,29,45,3,1,1,5,6,630,"","M",5028724,"253958",620
201600000320,16,4,16,1445,1,1,1,1,6,415,"","M",5033273,"263768",620
201600000321,16,7,10,1800,1,1,1,1,6,45,"","M",5034508,"258257",620
201600000322,16,7,9,1430,1,2,1,1,6,695,"rue principale","M",5026369,"236958",620
201600000323,16,9,27,1700,1,2,1,1,3,732,"95, Rte du TREPORT","M",4989177,"171651",800
201600000324,16,9,29,1415,1,2,1,1,6,554,"23 ter GENERAL LECLERC","M",4988409,"201978",800
201600000325,16,5,13,1800,1,1,1,1,6,798,"RD 113","M",5000521,"233710",800
201600000326,16,8,31,1630,1,1,1,1,1,385,"RD 40","M",5012513,"180144",800
201600000327,16,2,23,2130,3,1,1,5,6,110,"RD 940","M",5017462,"168118",800
201600000328,16,4,12,1630,1,1,1,1,1,618,"RD 940","M",5017968,"158727",800
201600000329,16,6,25,1500,1,2,2,1,3,287,"VC N°6","M",5015432,"160979",800
201600000330,16,8,2,1230,1,1,8,2,3,721,"VC (rue des canadiens)","M",5017586,"162009",800
201600000331,16,10,29,915,1,1,1,8,1,110,"CH DE HALAGE","M",5017220,"165806",800
